id,name,numAttendees,startAt,endAt,start_date
269431,Buff Lucario Tourney,4,1612128600,1612132200,1/31/2021
269733,BDC Revival 18 (Season 2),9,1612126800,1612134000,1/31/2021
268325,LoD's Ring of Chaos #1,38,1612126800,1612134000,1/31/2021
268312,SD Sundays Online #15,36,1612123200,1612137600,1/31/2021
267770,Neon City #3,10,1612123200,1612137600,1/31/2021
269433,SAHS Year 2 Season 1 Doubles #3,10,1612119600,1612130400,1/31/2021
269061,AeRo's SSBU Tournament (Third Parties Only!),34,1612116000,1612134000,1/31/2021
265577,Hocus Pocus V,36,1612116000,1612137600,1/31/2021
268230,Masher's Clash 1st of Winter 2021,11,1612112400,1612116000,1/31/2021
269536,Shinra's Sunday Series,29,1612110600,1612132800,1/31/2021
267700,The Pikmin Fumbles #1 - Doctor Mario only,15,1612108800,1612123200,1/31/2021
268744,Blue Smash #10,11,1612106400,1612121400,1/31/2021
267332,Poro Championship 2v2,44,1612105200,1612133940,1/31/2021
268707,Lockdown #90,113,1612101600,1612123200,1/31/2021
267122,zzz Impulse,81,1612101600,1612123200,1/31/2021
266305,UNLOCK Series 1: Super Smash Bros. Ultimate,45,1612098000,1612123200,1/31/2021
269325,AHS Internes PR Turnier 5,12,1612098000,1612116000,1/31/2021
268649,Halmstad Heavys #35,9,1612098000,1612116000,1/31/2021
269664,HuBdies n°57,5,1612096200,1612110600,1/31/2021
268662,<U+66B4><U+7A81><U+62F3>!<U+6D4E><U+5357>smash S0<U+8D5B><U+5B63>,9,1612094460,1612101600,1/31/2021
269171,Skaraborg Online Weekly #18,7,1612094400,1612112400,1/31/2021
269091,Battle In Beijing #13,19,1612081800,1612108560,1/31/2021
269572,Smashlink (64),15,1612078200,1612097940,1/31/2021
265315,AEL Clubs 2021 | Townsville Jan 31,10,1612065600,1612096440,1/31/2021
264533,Debo's Sub Tourney 5,50,1612065600,1612076400,1/31/2021
269580,No Rest Late Night Wifi 61,89,1612065600,1612080000,1/31/2021
269626,1UP Qin Smash Club January Monthly competition,10,1612065600,1612090800,1/31/2021
269074,CWA Wifi Weekly #42,17,1612062000,1612072800,1/31/2021
268991,The Smash Dungeon #20,25,1612060200,1612069260,1/31/2021
269167,Houston eSports Smash # 13,6,1612058400,1612069200,1/31/2021
267430,DOT Series 8,29,1612058400,1612076400,1/31/2021
268107,N64Josh Monthly Smash,66,1612054800,1612076400,1/31/2021
268702,OR Hype Weekly #5,25,1612054800,1612067400,1/31/2021
269265,BYU-I Smash Official,5,1612054800,1612062000,1/31/2021
267616,Rocky Ruckus Series #2,4,1612054800,1612072740,1/31/2021
268368,Forbidden Vibe Weekly #6,39,1612054800,1612087200,1/31/2021
268459,Below The Waves Sub Tournament ($ prizes),2,1612054800,1612069140,1/31/2021
268558,Con-Man Doubles!!,14,1612054800,1612119600,1/31/2021
269154,Astro Horizon's Smash Warriors (Doubles) #3,32,1612054800,1612112400,1/31/2021
